structure_name,UFF,Mg_CO,DFT,Refined isotherms,UFF error,
Ca-H2DHTP(Ca),-42.089480525806,-35.646819114427,-40.009778579369,4.362959464942,-2.07970194643701,
CaBTB(Ca),-42.464471198473,-37.757357631066,-41.017972386611,3.260614755545,-1.446498811862,
RUFMUA01(Ca),-37.895293934009,-34.148913360936,-34.215107243795,0.0661938828590039,-3.68018669021399,good
KIXXOG(Ca),-58.225960061332,-51.444465949015,-51.697461155989,0.252995206973999,-6.52849890534301,
ECEDEY(Ca),-41.053877273475,-36.313502040778,-41.194301461593,4.880799420815,0.140424188117997,
YOQYEK(Ca),-59.921738534928,-54.985590477399,,,,
KIXXOG01(Ca),-53.510362523838,-46.97015177186,-42.352654935779,-4.617496836081,-11.157707588059,
Ca-BDC(Ca),-36.958153365999,-33.763381735193,-37.438627823225,3.675246088032,0.480474457225995,
TECTUS(Ca),-30.597579342188,-25.88060244993,-34.88015456132,8.99955211139,4.282575219132,
RAJFAL(Ca),-24.413146268347,-22.274362071736,-30.674269243367,8.399907171631,6.26112297502,
POMSOB(Ca),-44.705251147312,-40.581827919815,-47.676258651136,7.094430731321,2.971007503824,
SBMOF-2(Ca),-42.341974515908,-35.408985322483,-35.174971357831,-0.234013964652,-7.167003158077,
TONMAM(Ba),-44.270099698964,-40.156167717694,,,,
UPC-17(Ba),-51.287856258486,-46.302205411264,-44.392558894433,-1.909646516831,-6.895297364053,
HOWROC(Ba),-63.126622441877,-59.475748052371,-50.192006667194,-9.283741385177,-12.934615774683,
NOCLOH01(Sr),-38.3593257436,-33.960293161724,-37.213010849232,3.252717687508,-1.146314894368,
NOCLUN(Sr),-39.787598244673,-34.737925434232,-35.182026138711,0.444100704479006,-4.605572105962,
KIYMAI01(Sr),-55.31725988027,-48.789489319834,-44.116905386441,-4.672583933393,-11.200354493829,
SC-BTC(Sr),-53.149998075844,-49.540478963987,-46.938557615006,-2.601921348981,-6.21144046083801,
ECEDAU(Sr),-37.880240284645,-30.836289129609,-33.203777177535,2.367488047926,-4.67646310711,
